iter	Passed	Remaining
403	7964	11749
404	7985	11731
405	8005	11712
406	8026	11693
407	8051	11683
408	8079	11674
409	8102	11659
410	8126	11645
411	8153	11637
412	8183	11630
413	8204	11612
414	8241	11617
415	8262	11598
416	8282	11580
417	8302	11560
418	8333	11554
419	8351	11532
420	8370	11512
421	8410	11519
422	8429	11499
423	8450	11479
424	8469	11458
425	8487	11435
426	8522	11436
427	8540	11414
428	8558	11391
429	8579	11372
430	8597	11350
431	8616	11329
432	8636	11308
433	8653	11285
434	8674	11266
435	8693	11246
436	8727	11243
437	8747	11223
438	8766	11202
439	8785	11181
440	8803	11159
441	8822	11137
442	8841	11116
443	8861	11097
444	8883	11079
445	8906	11063
446	8925	11042
447	8944	11020
448	8964	11001
449	8984	10981
450	9007	10965
451	9030	10948
452	9052	10930
453	9076	10915
454	9098	10898
455	9120	10880
456	9144	10865
457	9169	10851
458	9188	10830
459	9207	10808
460	9225	10786
461	9243	10764
462	9262	10742
463	9280	10721
464	9301	10701
465	9325	10686
466	9344	10665
467	9387	10671
468	9408	10652
469	9432	10636
470	9465	10631
471	9499	10626
472	9542	10632
473	9577	10627
474	9609	10620
475	9640	10612
476	9660	10591
477	9678	10568
478	9695	10545
479	9716	10526
480	9740	10509
481	9764	10493
482	9790	10479
483	9812	10461
484	9833	10441
485	9860	10428
486	9882	10410
487	9909	10396
488	9931	10378
489	9954	10360
490	9977	10343
491	10003	10329
492	10025	10310
493	10048	10292
494	10070	10273
495	10089	10251
496	10112	10234
497	10137	10219
498	10162	10202
499	10184	10184
500	10201	10160
501	10219	10137
502	10238	10116
503	10258	10095
504	10278	10075
505	10302	10058
506	10326	10041
507	10352	10026
508	10388	10021
509	10409	10001
510	10432	9983
511	10451	9961
512	10489	9958
513	10509	9937
514	10528	9914
515	10546	9892
516	10565	9870
517	10584	9849
518	10606	9829
519	10625	9807
520	10644	9786
521	10663	9764
522	10682	9742
523	10701	9720
524	10719	9698
525	10739	9678
526	10759	9656
527	10777	9634
528	10801	9617
529	10823	9598
530	10877	9607
531	10905	9593
532	10933	9580
533	10955	9560
534	10974	9538
